,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cvNd_diff_rate
95,20170802,고려아연,10130,491500,491500,482000,486500,56524,-7000,-1.42,491166.6666666667,-0.41,0,-1.32
96,20170801,고려아연,10130,493500,495000,487000,493500,56042,0,0.0,493166.6666666667,0.14,0,-1.42
97,20170731,고려아연,10130,493000,498500,488500,493500,52656,1000,0.2,492500.0,0.72,1,0.2
98,20170728,고려아연,10130,492500,493500,488000,492500,47911,1000,0.2,489000.0,1.73,1,0.41
99,20170727,고려아연,10130,483000,495000,480000,491500,95812,8500,1.76,480666.6666666667,3.22,1,1.97
100,20170726,고려아연,10130,473000,487500,470500,483000,142733,15500,3.32,465666.6666666667,2.8,1,5.13
101,20170725,고려아연,10130,445500,468000,445000,467500,138557,21000,4.7,453000.0,1.04,0,8.17
102,20170724,고려아연,10130,445000,454000,444000,446500,70959,1500,0.34,448333.3333333333,-0.59,0,5.06
103,20170721,고려아연,10130,450000,454500,442500,445000,82821,-8500,-1.87,451000.0,-0.88,-1,-1.54
104,20170720,고려아연,10130,454500,455000,449500,453500,46166,-1000,-0.22,455000.0,-0.73,-1,-2.09
105,20170719,고려아연,10130,455500,458000,452000,454500,44725,-2500,-0.55,458333.3333333333,-0.54,0,-0.77
106,20170718,고려아연,10130,463500,464000,456500,457000,33506,-6500,-1.4,460833.3333333333,-0.65,0,-1.94
107,20170717,고려아연,10130,464500,464500,460500,463500,29240,1500,0.32,463833.3333333333,0.4,0,-1.08
108,20170714,고려아연,10130,465000,465000,460000,462000,30578,-4000,-0.86,462000.0,0.11,0,-0.54
109,20170713,고려아연,10130,459000,469500,457000,466000,57383,8000,1.75,461500.0,0.44,0,0.87
110,20170712,고려아연,10130,461000,461500,456500,458000,36977,-2500,-0.54,459500.0,0.0,0,1.19
111,20170711,고려아연,10130,461000,462000,458500,460500,36001,500,0.11,459500.0,0.25,1,-0.43
112,20170710,고려아연,10130,458000,460500,456000,460000,30627,2000,0.44,458333.3333333333,0.44,1,0.55
113,20170707,고려아연,10130,454000,461000,450500,458000,42576,1000,0.22,456333.3333333333,0.18,0,0.66
114,20170706,고려아연,10130,452500,459500,452000,457000,34740,3000,0.66,455500.0,-0.47,0,0.88
115,20170705,고려아연,10130,453000,460000,451500,454000,27836,-1500,-0.33,457666.6666666667,-0.15,0,0.33
116,20170704,고려아연,10130,464500,465500,453500,455500,34498,-8000,-1.73,458333.3333333333,0.36,0,-2.05
117,20170703,고려아연,10130,456000,467500,456000,463500,77188,7500,1.64,456666.6666666667,1.44,1,-0.11
118,20170630,고려아연,10130,449500,456000,448500,456000,69860,5500,1.22,450166.6666666667,1.66,1,2.89
119,20170629,고려아연,10130,445000,453000,445000,450500,72492,6500,1.46,442833.3333333333,0.8,0,2.7
120,20170628,고려아연,10130,433500,447000,433000,444000,76290,10000,2.3,439333.3333333333,0.38,0,3.8
121,20170627,고려아연,10130,438000,438500,434000,434000,68795,-6000,-1.36,437666.6666666667,-0.23,0,0.91
122,20170626,고려아연,10130,439500,441000,438500,440000,40932,1000,0.23,438666.6666666667,0.53,1,-1.14
123,20170623,고려아연,10130,438000,439000,434500,439000,54045,2000,0.46,436333.3333333333,0.46,0,0.69
124,20170622,고려아연,10130,432000,437000,431000,437000,30046,4000,0.92,434333.3333333333,0.62,0,1.39
125,20170621,고려아연,10130,430000,435500,428000,433000,28530,0,0.0,431666.6666666667,-0.35,0,0.92
126,20170620,고려아연,10130,430000,433000,427500,433000,47468,4000,0.93,433166.6666666667,-0.54,0,0.93
127,20170619,고려아연,10130,436000,436500,428000,429000,60264,-8500,-1.94,435500.0,-1.14,-1,-1.03
128,20170616,고려아연,10130,439500,441000,436000,437500,37673,-2500,-0.57,440500.0,-0.86,-1,-2.5
129,20170615,고려아연,10130,440500,442500,439000,440000,56930,-4000,-0.9,444333.3333333333,-0.56,0,-1.46
130,20170614,고려아연,10130,446500,449000,440500,444000,56079,-5000,-1.11,446833.3333333333,-0.3,0,-2.0
131,20170613,고려아연,10130,445500,449000,444000,449000,32804,1500,0.34,448166.6666666667,-0.3,0,-0.78
132,20170612,고려아연,10130,449500,450000,445000,447500,33834,-500,-0.11,449500.0,-0.3,0,0.22
133,20170609,고려아연,10130,453500,455000,447000,448000,53489,-5000,-1.1,450833.3333333333,0.04,0,-1.21
134,20170608,고려아연,10130,455000,459000,448500,453000,97115,1500,0.33,450666.6666666667,0.37,0,-0.78
135,20170607,고려아연,10130,456500,456500,448000,451500,67366,4000,0.89,449000.0,0.64,0,1.23
136,20170605,고려아연,10130,448500,450000,443500,447500,38014,-500,-0.11,446166.6666666667,0.71,0,0.78
137,20170602,고려아연,10130,443500,448500,442500,448000,53229,5000,1.13,443000.0,0.64,0,1.02
138,20170601,고려아연,10130,436000,447500,436000,443000,51150,5000,1.14,440166.6666666667,0.34,0,2.28
139,20170531,고려아연,10130,440000,440500,436000,438000,37296,-1500,-0.34,438666.6666666667,0.0,0,0.8
140,20170530,고려아연,10130,439500,440000,437000,439500,34743,1000,0.23,438666.6666666667,0.42,1,-0.11
141,20170529,고려아연,10130,438000,441000,437500,438500,40379,500,0.11,436833.3333333333,0.46,1,0.34
142,20170526,고려아연,10130,437500,439500,435000,438000,66380,4000,0.92,434833.3333333333,0.46,1,1.04
143,20170525,고려아연,10130,432500,437500,430500,434000,61730,1500,0.35,432833.3333333333,0.39,1,1.27
144,20170524,고려아연,10130,429500,434500,429500,432500,32245,500,0.12,431166.6666666667,0.47,1,0.46
145,20170523,고려아연,10130,429500,434500,427500,432000,43280,3000,0.7,429166.6666666667,0.51,1,0.82
146,20170522,고려아연,10130,428500,431000,427500,429000,40704,2500,0.59,427000.0,0.47,1,1.29
147,20170519,고려아연,10130,423000,427000,423000,426500,29824,1000,0.24,425000.0,-0.04,0,0.82
148,20170518,고려아연,10130,422500,429000,422500,425500,43946,2500,0.59,425166.6666666667,-0.27,0,0.83
149,20170517,고려아연,10130,426000,428000,420500,423000,51328,-4000,-0.94,426333.3333333333,-0.35,0,-0.35
150,20170516,고려아연,10130,431000,431500,426000,427000,45465,-2000,-0.47,427833.3333333333,-0.12,0,-1.4
151,20170515,고려아연,10130,430000,432500,427500,429000,38180,1500,0.35,428333.3333333333,0.27,0,-0.12
152,20170512,고려아연,10130,427500,429500,427000,427500,36345,-1000,-0.23,427166.6666666667,0.23,0,0.12
153,20170511,고려아연,10130,425500,428500,424000,428500,53529,3000,0.71,426166.6666666667,0.47,1,0.47
154,20170510,고려아연,10130,428500,428500,423000,425500,85289,1000,0.24,424166.6666666667,0.08,0,0.94
155,20170508,고려아연,10130,421500,424500,418500,424500,62898,2000,0.47,423833.3333333333,-0.08,0,0.71
156,20170504,고려아연,10130,421000,425500,420500,422500,52289,-2000,-0.47,424166.6666666667,-0.24,0,0
157,20170502,고려아연,10130,425500,426500,421000,424500,34402,-1000,-0.24,425166.6666666667,0.08,0,-0.71
158,20170428,고려아연,10130,421500,425500,419500,425500,47120,0,0.0,424833.3333333333,-0.35,0,-0.24
159,20170427,고려아연,10130,425500,431000,423500,425500,48318,2000,0.47,426333.3333333333,0.91,0,0.47
160,20170426,고려아연,10130,432000,432500,422500,423500,77075,-6500,-1.51,422500.0,0.64,0,-1.05
161,20170425,고려아연,10130,417000,432500,416000,430000,135128,16000,3.86,419833.3333333333,0.96,0,2.29
162,20170424,고려아연,10130,417500,419000,413500,414000,25399,-1500,-0.36,415833.3333333333,-0.28,0,3.49
163,20170421,고려아연,10130,421500,422000,414000,415500,41250,-2500,-0.6,417000.0,0.32,0,-0.96
164,20170420,고려아연,10130,418000,419500,415500,418000,36250,500,0.12,415666.6666666667,0.28,0,-0.48
165,20170419,고려아연,10130,413000,427000,413000,417500,91194,6000,1.46,414500.0,0.44,0,1.58
166,20170418,고려아연,10130,416000,417000,410500,411500,38476,-3000,-0.72,412666.6666666667,-0.16,0,0.72
167,20170417,고려아연,10130,413000,418000,413000,414500,17741,2500,0.61,413333.3333333333,0.0,0,-0.12
168,20170414,고려아연,10130,414500,418500,411500,412000,19395,-1500,-0.36,413333.3333333333,0.2,0,0.24
169,20170413,고려아연,10130,416500,416500,411500,413500,37250,-1000,-0.24,412500.0,0.28,0,-0.6
170,20170412,고려아연,10130,411500,420000,411500,414500,51754,5000,1.22,411333.3333333333,-0.44,0,0.98
171,20170411,고려아연,10130,410500,414500,409500,409500,49182,-500,-0.12,413166.6666666667,-0.56,0,1.1
172,20170410,고려아연,10130,420000,420500,409000,410000,64140,-10000,-2.38,415500.0,-0.6,0,-2.5
173,20170407,고려아연,10130,417500,425000,417000,420000,39630,3500,0.84,418000.0,0.16,0,-1.56
174,20170406,고려아연,10130,419000,422000,416500,416500,36417,-1000,-0.24,417333.3333333333,-0.16,-1,0.6
175,20170405,고려아연,10130,418000,421000,413000,417500,45321,-500,-0.12,418000.0,-1.14,-1,-0.36
176,20170404,고려아연,10130,418000,421500,416500,418000,47165,-500,-0.12,422833.3333333333,-1.28,-1,-0.24
177,20170403,고려아연,10130,425000,427000,418000,418500,85550,-13500,-3.12,428333.3333333333,-0.04,0,-3.24
178,20170331,고려아연,10130,438500,438500,429000,432000,70100,-2500,-0.58,428500.0,1.1,0,-3.68
179,20170330,고려아연,10130,437500,441000,429000,434500,258079,15500,3.7,423833.3333333333,1.31,0,3.1
180,20170329,고려아연,10130,419500,420000,413000,419000,34174,1000,0.24,418333.3333333333,0.44,0,3.95
